[2025-06-05 20:06:28] [INFO    ] discord.client: logging in using static token
[2025-06-05 20:06:28] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2025-06-05 20:06:28] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2025-06-05 20:06:28] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1380215695651897535', 'username': 'Silly Sylii', 'avatar': 'c35aafc14a675a1ed0f57bdcbce7f14e', 'discriminator': '0731', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': True, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2025-06-05 20:06:29] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2025-06-05 20:06:29] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2025-06-05 20:06:29] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1380215695651897535', 'name': 'Silly Sylii', 'icon': None, 'description': "Sylaella's discord bot\n\n", 'type': None, 'bot': {'id': '1380215695651897535', 'username': 'Silly Sylii', 'avatar': 'c35aafc14a675a1ed0f57bdcbce7f14e', 'discriminator': '0731', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': '3dd304e6fd980cc8e2fb40542d13a054d3c29be7e3bc3f71289e9543e1eb3659', 'flags': 557056, 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '1380215535421358090', 'username': 'team1380215535421358090', 'avatar': None, 'discriminator': '0000', 'public_flags': 1024, 'flags': 1024, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'approximate_guild_count': 1, 'approximate_user_install_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 2276, 'monetization_state': 1, 'verification_eligibility_flags': 123806, 'monetization_eligibility_flags': 247526, 'team': {'id': '1380215535421358090', 'icon': None, 'name': 'Sylaellas Bot', 'owner_user_id': '299952743064403969', 'members': [{'user': {'id': '299952743064403969', 'username': 'hoxtolicious', 'avatar': 'a_97ba44045289a1caff3415ddd05048e7', 'discriminator': '0', 'public_flags': 64, 'flags': 64, 'banner': None, 'accent_color': None, 'global_name': 'Hoxtolicious', 'avatar_decoration_data': {'asset': 'a_950aea7686c5674b4e2f5df0830d153b', 'sku_id': '1144057737475534889', 'expires_at': None}, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'team_id': '1380215535421358090', 'membership_state': 2, 'role': 'admin', 'permissions': ['*']}]}, 'internal_guild_restriction': 2, 'approved_consoles': []}
[2025-06-05 20:06:29] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2025-06-05 20:06:29] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-us-east1-c-h6jt",{"micros":0.0}]']}}
[2025-06-05 20:06:29] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2025-06-05 20:06:29] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-06-05 20:06:29] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'Silly Sylii', 'primary_guild': None, 'mfa_enabled': True, 'id': '1380215695651897535', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '0731', 'clan': None, 'bot': True, 'avatar': 'c35aafc14a675a1ed0f57bdcbce7f14e'}, 'session_type': 'normal', 'session_id': '610bb50c60e4b99c657ccbe7cfb84df9', 'resume_gateway_url': 'wss://gateway-us-east1-c.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '1375249715662164050'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['frankfurt', 'frankfurt-two', 'rotterdam', 'paris', 'london'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1380215695651897535', 'flags': 557056}, '_trace': ['["gateway-prd-us-east1-c-h6jt",{"micros":196685,"calls":["id_created",{"micros":427,"calls":[]},"session_lookup_time",{"micros":453,"calls":[]},"session_lookup_finished",{"micros":15,"calls":[]},"discord-sessions-prd-2-107",{"micros":194576,"calls":["start_session",{"micros":182422,"calls":["discord-api-rpc-598865fd7-f6lqv",{"micros":169479,"calls":["get_user",{"micros":43439},"get_guilds",{"micros":14417},"send_scheduled_deletion_message",{"micros":19},"guild_join_requests",{"micros":2069},"authorized_ip_coro",{"micros":18},"pending_payments",{"micros":1653},"apex_user_experiments",{"micros":4},"user_activities",{"micros":2},"played_application_ids",{"micros":2}]}]},"starting_guild_connect",{"micros":45,"calls":[]},"presence_started",{"micros":847,"calls":[]},"guilds_started",{"micros":84,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":11150,"calls":[]},"connect_finished",{"micros":11155,"calls":[]},"build_ready",{"micros":20,"calls":[]},"clean_ready",{"micros":0,"calls":[]},"optimize_ready",{"micros":1,"calls":[]},"split_ready",{"micros":0,"calls":[]}]}]}]']}}
[2025-06-05 20:06:29] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-06-05 20:06:29] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: 610bb50c60e4b99c657ccbe7cfb84df9).
[2025-06-05 20:06:29] [DEBUG   ] discord.client: Dispatching event connect
